,komentar
0,Katanya orang kaya.. makan saja 1 hari 1jt.. tapi kok open donasi.. ngemis online berkedok donasi yah mbak
1,"Malu ga sih open donasi, padahal tongkrongangannya semua iphone dan makan di tempat mewah. Tidak bermaksud membandingkan. Denada saja yang harus membiayai pengobatan anaknya yang sakit keras tidak sampai membuka donasi. Apakah tidak ada aturan di indonesia ini yang mengurusi keabsahan donasi dan syaratnya!!"
2,bapak mana mak? Denise : sabar ya nak mama lagi buka lowongan jadi bapakmu 
3,"ORANG KAYA KOK NGEMIS wkwk. kalau NANTI GA MAMPU NGURUS ANAK TARO AJA DI PANTI NANTI PASTI ADA YANG ADOPSI,  DARIPADA NANTI MALU LIAT JEJAK DIGITAL IBU NYA WKWK"
4,Percuma anak cuma buat dijadiin konten. Sumpah bukan calon emak benaran ini mah. Eksploitasi anak yang benar demi cuan mengalir
5,"Lu punya keluarga, tapi kagak punya hati ganggu keluarga orang."
6,"udah tau sering bikin malu, tapi malah terus buka aib orang.."
7,"Sekarang minta maaf, besok buat ulah lagi, lusa minta maaf lagi, gitu terus sampai bulu hidung lu beruban Nis."
8,Elu jalan jalan ke jepang sanggup lah lahirin anak ga sanggup
9,"Kelihatan sih kalau orang tuamu gak bahagia Nies, mungkin malu sama kelakuan lu"
10,Ingat semakin menua usia orang tuamu jadi jangan bikin orang tuamu merasa menyesal melahirkanmu
11,"Tuh dengar kata emak lu. jangan bego lagi, stop buat malu diri sendiri dan keluarga lu ‚"
12,Lah ini bisa ngajak jalan orang tua tapi minta donasi buat anak. Sehat mbk?
13,Makanya jangan tolol
14,KATANYA PUNYA DUIT BANYAK TAPI KOK MINTA DONASI ‚
15,IYA SI MAHA PALING BENAR … kalau EMANG KAYA STOP OPEN DONASI YA¸
16,Kasihan anak nya baru lahir tidak punya bapak pasti anak yatim yah
17,Ngakak banget saya sama dia open donasi bukan buat lahiran Tapi buat HURA HURA NGAKU ORANG KAYA !!!! TAPI NGEMIS NGEMIS ONLINE HAHAHA saya GA BENCI ANAK LU. kita ga benci anak lu..tapi jijik sama kelakuan lu.. udah susah jangan mengaku kaya
18,Hahahhaha kalau biskuit khongsayan bapaknya yang fotoin dan ga mnt donasi juga hehehehehe
19,HIDUPNYA CUMA KONTEN. KASIHAN BANGET DIA GAK BISA MENIKMATI HIDUP
20,Hamilnya Sama orang lain Minta Tanggung Jawabnya Sama Netizen.
21,"Kasian anak nya, jadi di ajarin ngemis"
22,Ga jelas lo nis makin lama.. mending amal ke anak yatim..
23,"Yuk ramai ramai laporkan akunnya ini akun penipuan yok bisa para netizen bisa yok,,, "
24,Kejiwaannya sehat ga sih ini? benaran nanya ‚
25,Hidup lu konten mulu. Kasian tidak menikmati hidup
26,Kasian padahal belum lahiran tapi dah kena baby blues 
27,Ngomong lu ama tembok. Goblok kok dipelihara
28,Sok suci kamu pikir kamu Maria ibu Yesus apa yang bisa mengandung dari roh kudus
29,"Iya betul , ka denis cuma diam doang tiduran Kan yang bergerak si cowok  Ka denis mah cuma tiduran &  ngangkang doang yekan  benar dong ??, Ka denis cuma diam doang kan ?? Tapi si cowok yang gerak  Ka denis cuma tiduran diam  desah doang dikit hehe benar si , ka denis jujur ko guys "
30,Goblok ko di pelihara sih lu percuma lu sekolah tidak sih punya malu tidak sih
31,"Berani bawa2 SUMPaH dengan kelakuan yang tidak di anggap, gak ada orang yang gak melakukan hal bodoh bisa hamil, terus itu anak di sulap gitu di dalam perut"
32,Seandainya luu gak buat ulah Mungkn nasib lu gak  bakal kaya gini .dulu kelihatan cantik banget angun skarenag malah kacau
33,"Goblok anak malah di bikin lelucon, sama saja lu jual anak sendiri karena duit, parah benar ini jadi ibu"
34,"Hamil sama Anjing siapa mau Kasihan miskin makan hasil minta'"" tapi sombong nya minta ampun jijik"
35,"orang kaya open donasi, orang kaya open donasi"
36,"makanya, jangan gampang buka celana dalam"
37,"Mau Lahiran kan? Dijaga mulut dan kata2nya, biar nanti gak nyusahin diri sendiri"
38,Makanya memek dijaga jangan diobral2
39,"Pas ngelakuin keenakan, ga ingat dampaknya. Pas sudah kejadian, nyesel belakangan "
40,makanya jangan keluarin di dalam kalau ga mau bunting 
41,"kalau bisa jaga diri ya gak begitu juga ,cinta nafsu birahi itu mah ,cinta kok ngewe"
42,Sombongnya ga ilang2… gimana orang mau respect coba ? Ini orang kaya nanggung tapi sombongnya kebangetan 
43,Wkwk orang kaya nih bos sengol dong mau minta sumbangan buat bayi hasil kumpul kebo ngewe sembarangan
44,Indikasi ODGJ gak sih
45,Baru dia orang yang hamil bangga gak tau bapaknnya dimana naudzubillah
46,Senggol dong orang kaya mau lahiran minta donasi
47,Baru ini nemu hamil duluan bangga malah pamer ‚
48,orang  kaya kok minta donasi...!!!‚‚‚‚ miskin ya??? btw nama anak nya donasi sja
49,Yuan wibowo sadarlah anakmu butuh kamu  jangan kerjamu asik mabok dan halusinasi aja kasian mbak Denise
50,"dari awal jg keliatan mokondo, numpang, ga ada peduli nya, boro2 sayang....."
51,aku yakin mereka ini lg drama. dibelakang layar mereka pasti baik baik aja
52,Itu rambut apa jembut
53,orang kaya minta sumbangan sana sini
54,"Kena karmanya sendari ,, mulutmu hati mau mau dulu kamu bilang org miskin sekarang kamulah yang miskin sampai harus makan aja harus buka donasi,, bagus saya kasih anak yatim lah dari pada harus kasih makan kamu yang ngak pernah sadar kalau di atas langit masih ada langit "
55,"katanya orang kaya, tapi kok ngemis"
56,Ngomong R aja gak bisa belagu jadi selingkuhan_-
57,Bangga banget nampangin perut hamil gak ada bapak nya.. bapak mana.. bapak mana dimana
58,Jijik lihatnya.. 
59,Kasian anaknya kalau udah keluar gak tau bapaknya yang mana
60,"Kenapa ya sekarang didunia ini yang hamil diluar nikah itu biasa"" Aja kayak gak punya rasa malu malah kayak bangga begitu , maaf ya cuma tanya "
61,Itu perut lemak bukan perut hamil
62,"Denis, lu berat banget apa ya make BH? Minimal mah pakai BH kalau ga bisa beli ya beli atu open donasi lagi. DENIS GAPUNYA BH"
63,Orang kaya kok minta donasi 
64,kak kalau buat konten pake BH ‚
65,Ayam nya gk kampung tapi cara makan nya yang kampungan...
66,Jual makanan tapi gk pake BH . Jorok banget sih
67,orang  kaya tapi ngemis  donasi
68,pegemis lagi makan kari ayam
69,"Suka Aneh sama manusian yang modelnya kaya gini. pakenya aja yang premium2 tapi minta donasi buat kelahiran, nggak malu tu sama botol anggur wkwk"
70,"Sok kaya, ngemis sana-sini,  gak tau malu, udah hamil di luar nikah juga,"
71,"Jngan banyak"" pakai nya. nanti cpt habis cari sumbangan lagi"
72,INI PEREMPUAN OTAK NYA tidak WARAS MAKA NYA MALU NYA HILANG... MULUT NYA SUKA SOMBONG... TAPI MAKAN  ENAK2 HASIL DONASI... DI SEKEK BALIK tidak TERIMA... ADA SEBAB ADA AKIBAT... DIA yang BUNTING karena HARGA DIRI MURAH tidak BISA MENJAGA DIRI NYA SENDIRI TAPI ORANG yang DI SALAHKAN... TAPI NAMANYA OTAK tidak WARAS BGITU LAH... ADUH KASIHAN CARI MKN sampai SEGITU NYA... DEMI KONTEN HARGA DIRI sampai JATUH KE BAWAH SEGALA CARA DI HALALKAN... ANAK NYA SDH BESAR PASTI MINDER MALU PUNYA EMAK OTAK NYA SEKLEK AKUT
73,Mintanya open donasi untuk biaya lahiran tapi beli barang baby harus branded semua ya kak ‚¸  Kakak kadang becandanya keterlaluan masa orang kaya open donasi :(
74,sama saja bikin malu diri sendiri
75,Upah orang sombong
76,otaknya kosong
77,"akhir zaman, bangga sekali mengumbar sebuah aib mengandung ga tau anak siapa kek tidak ada malunya"
78,"Unfollow aja instagramnya, youtube nya, kalau perlu report. Biar IG nya hilang terus kita ga liat dia lagi, Ayok report aja ramai ramai ‚"
79,"Ngomongin doa, inget tuhan aja tidak"
80,"Udah hamil mulutnya itu loh,, yang miskin siapa coba....??? sampai minta donasi2 segala ‚ lucu lu..."
81,janda dr mna.. nikah jg kagak… di ngentot doang.. bunting
82,TOMBOL GAPEDULI DENIS-----------
83,Tombol ini pasti settingan ----
84,Definisi gak tau diri apa gimana sih lahiran gak perlu harus punya mobil we astaga lo pake grab aja deh plis¸
85,tombol kontol ------
86,"kamu hamil juga karna perilaku kamu sendiri. Jangan sampai nanti anak kamu lahir malah malu karna emaknya ngemis2 begini. Jadi kepikiran ntar anaknya ""oh saya dilahirkan dapat uang hasil donasi"". Pernah mikir gitu nggak sih den?"
87,Kayaknya enak kalau kita unfoll ...
88,kalau GADA UANG! GAUSAH LAHIRAN DI RS! DI KLINIK BISA! CUMA 3JT! GADA MOBIL?! PAKE TAKSI ONLINE! BUNTING NGEMIS BUAT MAKAN! BUAT LAHIRAN OPEN DONASI! MAU BELI MOBIL NGEMIS!!!!! kalau GADA UANG GAUSAH BANYAK GAYA MANGKANNYA! LU yang NGEWE MALAH ORG2 yang DIRIBETIN DISURUH DONASI! LAWAK?!
89,Tombol unfollow -------------------------------
90,… Lahiran minta sumbangan .. dibelain minjem uang buat lahiran .. sehat lu nis … kalau gak punya ga usah di paksain kenapa sih . Lahiran sederhana ... Ga perlu tuh bkin kamar baru buat bayi .. kalau emang pengen yang terbaik buat anak lo gak usah ngemis … kerja keras mbak
91,Si kontol ga bersyukur udah ngemis banyak pulak gayanya
92,Berhenti mengikuti... Ini manusia tak bersyukur....
93,Perempuan goblok
94,orang kaya lagi ngemis ngemis....
95,"Biasa nya kalau wanita hamil di luar nikah pasti di nikahin oleh pasangan nya, lah anda kasihan sekali hamil tidak di nikahkan mulut kau kebanyakan bacot jadi kena karma‚‚"
96,"katanya horang kaya, tapi kenapa jd begini ya?  Gak ada keahlian sih jd aja namanya Artis Serabutan ‚"
97,Orang kaya ngemis
98,Orang gila
99,Bukannya dulu mbak viral karna bilang kaya raya ya ? sampai ngeledekin netizen dibilang miskin
100,"Heran, dunia dah mau kiamat. Hamil ga ada bapaknya kok bangga. Cari donasi tapi gaya hidupnya highclass. Ga malu yah"
101,"Kamarnya yang mewah tapi minta donasi, gak punya malu kah sama yang pake bpjs"
102,Lu open BO aja daripada open donasi
103,"orang mah minta donasi harusnya untuk yang ga mampu, korban bencana alam, yatim piatu dan sebagainya yang sejenis. lah ini kok hamil habis zina malah minta donasi, liat sendiri kan dia gaya hidupnya kaya gimana, tiap hari dia bisa nyari makan sendiri, ya bisa dikatakan tiap hari dia gaya hidupnya Hedon dan Mewah. bukan hujat atau gimana ya tapi kalau selagi mampu ya kenapa minta, pas itu sy denger dia nangis untuk biaya persalinan yang dari donasi hanya 7jt emang segitu KURANG? HARUSNYA LO BERSYUKUR itu mah lebih, lahiran aja normal biasa di bidan 2-5 JT mentok. LAH dia mintanya 90jt untuk persalinan, kek ya Allah miris padahal bisa nyari duit sendiri knp minta donasi TOLONG GENGSINYA DIKURANG udah DIKASIH. masih ada banyak loh orang yang membutuhkan diluar sana yang belum makan sekolah, org yang merantau tapi susah cari kerja, dagangan yang ga laku toko sepi, pelajar yang nyari duit dengan segala cara tapi halal untuk memenuhi kebutuhan tiap harinya. LAH ko ini yang DIPRIORITASKAN dan dipanggung MINTA DONASI, bukan NGUNGKIT tapi karna itu real (ada) dr perbuatan kt dulu dan nyeselnya malah sekarang. no hujat ya tapi ini KELUH KESAHKU yang DNGER INI, SEMOGA KM BISA SADAR dan TOBAT pastinya :)"
104,"Bayangin anaknya dewasa,,terus lihat jejak digital… bAgaimna cara anak itu menutup muka???"
105,sepertinya hamil sama ga hamil ga ada bedanya
106,makanya kalau lagi di atas gausah sombong tantee
107,"Pokoknya jangan dikasih, masih ada banyak yang membutuhkan"
108,"gitu dong jualan gini kan bagus diihat drpd lo ngemis, anak mu pasti malu jd anak mu kalau terus an ngemis"
109,"Eh kamu hamil apa tidak sh kok gak besar"" itu perut nya"
110,"Para donatur stop sumbangannya, ini contoh tidak baik, orang lain bakal ikut - ikutan nantinya kayak kisah nenek mandi lumpur.."
111,Bukannya malu malah seperti ini. Amit amit punya keluarga kek gini.
112,Unfollow guys. jangan djadikan publik figur
113,"Emang sengaja buat gaduh astaghfirullah, karena dia emang butuh kegaduhan supaya viral. Hati2 apa yang kamu posting kak, khawatirnya ada yang mau nge-endorse jadi ga jadi karena lihat ini. ‚"
114,"Gausah ada yang mau nyumbang, mendingan sumbang yang lebih butuh"
115,"hamil elit bayar sulit, malu ga sih lahiran masa open donasi, emang iya lahiran sampai 1m?"
